source_id,title,organization,source_type,landing_url,pdf_url,priority_tier,ingestion_method,status,last_reviewed
aditya-birla-sun-life-amc-website-1,Presenting the new APEX SIF - Hybrid Long Short Fund by Aditya Birla Sun Life AMC Ltd,Aditya Birla Sun Life,AMC Website,https://www.youtube.com/watch?v=tibJP08gFB8,,5,playwright_scrape,active,2026-06-04
amfi-amfi-circular,Registration of MFDs for distribution of Specialized Investment Funds (SIFS) - AMFI,AMFI,AMFI Circular,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/AMFICircular_ARN29_31Jul2025.pdf,https://www.amfiindia.com/Themes/Theme1/downloads/circulars/AMFICircular_ARN29_31Jul2025.pdf,2,direct_download,active,2026-06-04
amfi-amfi-circular-1,Net Asset Value - AMFI,AMFI,AMFI Circular,https://www.amfiindia.com/sif/latest-nav,,2,playwright_scrape,active,2026-06-04
edelweiss-mutual-fund-isid,Altiva Equity Ex-Top 100 Long-Short Fund,Edelweiss Mutual Fund,ISID,https://www.edelweissmf.com/Files/altivaSIF/Annexure%20III%20ISID%20-%20Altiva%20Equity%20Ex-Top%20100%20Long-Short%20Fund_Fund.pdf,https://www.edelweissmf.com/Files/altivaSIF/Annexure%20III%20ISID%20-%20Altiva%20Equity%20Ex-Top%20100%20Long-Short%20Fund_Fund.pdf,3,direct_download,active,2026-06-04
external--uncategorized-kim,1 KEY INFORMATION MEMORANDUM qsif Sector Rotation Long-Short Fund (An open-ended investment strategy investing in equity and e,External / Uncategorized,KIM,https://www.qsif.com/Admin/SIDPdf/KIM-qsif_Sector_Rotation_Long_Short_fund.pdf,https://www.qsif.com/Admin/SIDPdf/KIM-qsif_Sector_Rotation_Long_Short_fund.pdf,3,direct_download,active,2026-06-04
external--uncategorized-isid,INVESTMENT STRATEGY INFORMATION DOCUMENT SECTION I qsif Sector Rotation Long-Short Fund (An open-ended investment strategy inves,External / Uncategorized,ISID,https://www.qsif.com/Admin/SIDPdf/ISID_qsif_Sector_Rotation_Long-Short_Fund.pdf,https://www.qsif.com/Admin/SIDPdf/ISID_qsif_Sector_Rotation_Long-Short_Fund.pdf,3,direct_download,active,2026-06-04
tata-mutual-fund-amc-website-2,Titanium Hybrid Long-Short Fund | Tata Mutual Fund SIF,Tata Mutual Fund,AMC Website,https://www.tatamutualfund.com/titanium-sif/titanium-hybrid-long-short-fund,,5,playwright_scrape,active,2026-06-04
tata-mutual-fund-kim,KEY INFORMATION MEMORANDUM - Tata Mutual Fund,Tata Mutual Fund,KIM,https://www.tatamutualfund.com/system/files/2025-11/Titanium%20Hybrid%20Long-Short%20Fund-KIM.pdf,https://www.tatamutualfund.com/system/files/2025-11/Titanium%20Hybrid%20Long-Short%20Fund-KIM.pdf,3,direct_download,active,2026-06-04
external--uncategorized-factsheet,qsif - Factsheet_March 2026.cdr,External / Uncategorized,Factsheet,https://www.qsif.com/Admin/Factsheet/qsif-Factsheet_March_2026.pdf,https://www.qsif.com/Admin/Factsheet/qsif-Factsheet_March_2026.pdf,4,direct_download,active,2026-06-04
external--uncategorized-factsheet-1,Factsheet_February 2026_123.cdr - qSIF Investment Strategies,External / Uncategorized,Factsheet,https://www.qsif.com/Admin/Factsheet/qsif%20_Factsheet_February%202026.pdf,https://www.qsif.com/Admin/Factsheet/qsif%20_Factsheet_February%202026.pdf,4,direct_download,active,2026-06-04
external--uncategorized-factsheet-2,Factsheet_May 2026.cdr - qSIF Investment Strategies,External / Uncategorized,Factsheet,https://www.qsif.com/Admin/Factsheet/qsif_Factsheet_May_2026.pdf,https://www.qsif.com/Admin/Factsheet/qsif_Factsheet_May_2026.pdf,4,direct_download,active,2026-06-04
edelweiss-mutual-fund-factsheet,Altiva Hybrid Long-Short Fund_Product note Leaflet_v2.cdr - Edelweiss Mutual Fund,Edelweiss Mutual Fund,Factsheet,https://www.edelweissmf.com/Files/SIF/Downloads/Factsheet/Factsheets/Altiva_Hybrid_LongShort_Fund_Portfolio_Update_January_2026_13022026170530.pdf,https://www.edelweissmf.com/Files/SIF/Downloads/Factsheet/Factsheets/Altiva_Hybrid_LongShort_Fund_Portfolio_Update_January_2026_13022026170530.pdf,4,direct_download,active,2026-06-04
the-wealth-company-factsheet,Factsheets - Download Mutual Fund Forms & Documents | Wealth Company AMC,The Wealth Company,Factsheet,https://www.wealthcompanyamc.in/literature-forms/scheme-documents/factsheets/,,4,playwright_scrape,active,2026-06-04
360-one-mutual-fund-amc-website,DynaSIF Active Asset Allocator Long-Short Fund - 360 ONE,360 ONE Mutual Fund,AMC Website,https://www.360.one/dyna-sif,,5,playwright_scrape,active,2026-06-04
360-one-mutual-fund-amc-website-1,Core Pillars of DynaSIF - 360 ONE,360 ONE Mutual Fund,AMC Website,https://www.360.one/dyna-sif/investment-philosophy,,5,playwright_scrape,active,2026-06-04
dsp-mutual-fund-amc-website-1,DSP Endurance SIF: A Game-Changer in Customized Investment for Sophisticated Investors 2025 - Nemi Wealth,DSP Mutual Fund,AMC Website,https://nemiwealth.com/dsp-endurance-sif-for-sophisticated-investors/,,5,playwright_scrape,active,2026-06-04
